instance 0
"objective; 476.0"
x[0, 6]
x[0, 7]
x[1, 3]
x[2, 12]
x[3, 11]
x[4, 13]
x[5, 8]
x[6, 1]
x[7, 2]
x[8, 14]
x[9, 15]
x[10, 15]
x[11, 5]
x[12, 4]
x[13, 10]
x[14, 9]
w[0, 6], 2
w[0, 7], 2
w[1, 3], 2
w[3, 8], 2
w[4, 9], 2
w[5, 10], 2
w[6, 11], 2
w[7, 12], 2
w[8, 14], 2
w[9, 15], 2
w[10, 15], 2
w[11, 5], 2
w[12, 4], 2
v[0, 6]
v[0, 7]
v[1, 3]
v[3, 8]
v[4, 9]
v[5, 10]
v[6, 11]
v[7, 12]
v[8, 14]
v[9, 15]
v[10, 15]
v[11, 5]
v[12, 4]
y[3, 2]
y[4, 2]
y[5, 2]
y[6, 2]
y[7, 2]
"service_time[3]; 220"
"service_time[4]; 150"
"service_time[5]; 115"
"service_time[6]; 215"
"service_time[7]; 155"
"start_service[1]; 96"
"start_service[2]; 120"
"start_service[3]; 127"
"start_service[4]; 267"
"start_service[5]; 293"
"start_service[6]; 48"
"start_service[7]; 60"
"start_service[8]; 347"
"start_service[9]; 425"
"start_service[10]; 408"
"start_service[11]; 263"
"start_service[12]; 215"
"start_service[13]; 314"
"start_service[14]; 378"
"start_service[15]; 476"
instance 1
"objective; 454.0"
x[0, 4]
x[0, 6]
x[1, 3]
x[2, 5]
x[3, 11]
x[4, 2]
x[5, 10]
x[6, 1]
x[7, 9]
x[8, 15]
x[9, 13]
x[10, 14]
x[11, 7]
x[12, 15]
x[13, 8]
x[14, 12]
w[0, 4], 2
w[0, 6], 2
w[1, 3], 1
w[2, 5], 2
w[3, 8], 1
w[4, 9], 2
w[5, 10], 2
w[6, 11], 2
w[7, 12], 2
w[8, 15], 1
w[9, 13], 2
w[10, 14], 2
w[11, 7], 2
w[12, 15], 2
v[0, 4]
v[0, 6]
v[1, 3]
v[2, 5]
v[3, 8]
v[4, 9]
v[5, 10]
v[6, 11]
v[7, 12]
v[8, 15]
v[9, 13]
v[10, 14]
v[11, 7]
v[12, 15]
y[3, 1]
y[4, 2]
y[5, 2]
y[6, 2]
y[7, 2]
"service_time[3]; 290"
"service_time[4]; 190"
"service_time[5]; 235"
"service_time[6]; 125"
"service_time[7]; 225"
"start_service[1]; 48"
"start_service[2]; 78"
"start_service[3]; 106"
"start_service[4]; 39"
"start_service[5]; 113"
"start_service[6]; 24"
"start_service[7]; 185"
"start_service[8]; 396"
"start_service[9]; 229"
"start_service[10]; 348"
"start_service[11]; 149"
"start_service[12]; 410"
"start_service[13]; 268"
"start_service[14]; 383"
"start_service[15]; 454"
instance 2
"objective; 476.0"
x[0, 3]
x[0, 4]
x[1, 6]
x[2, 5]
x[3, 1]
x[4, 2]
x[5, 8]
x[6, 9]
x[7, 11]
x[8, 7]
x[9, 13]
x[10, 15]
x[11, 14]
x[12, 15]
x[13, 12]
x[14, 10]
w[0, 3], 2
w[0, 4], 2
w[1, 6], 1
w[2, 5], 2
w[3, 8], 2
w[4, 9], 2
w[5, 10], 2
w[6, 11], 1
w[7, 12], 2
w[8, 7], 2
w[9, 13], 2
w[10, 15], 2
w[11, 14], 1
w[12, 15], 2
v[0, 3]
v[0, 4]
v[1, 6]
v[2, 5]
v[3, 8]
v[4, 9]
v[5, 10]
v[6, 11]
v[7, 12]
v[8, 7]
v[9, 13]
v[10, 15]
v[11, 14]
v[12, 15]
y[3, 2]
y[4, 2]
y[5, 2]
y[6, 1]
y[7, 2]
"service_time[3]; 175"
"service_time[4]; 205"
"service_time[5]; 225"
"service_time[6]; 200"
"service_time[7]; 115"
"start_service[1]; 90"
"start_service[2]; 132"
"start_service[3]; 45"
"start_service[4]; 65"
"start_service[5]; 163"
"start_service[6]; 143"
"start_service[7]; 307"
"start_service[8]; 220"
"start_service[9]; 270"
"start_service[10]; 427"
"start_service[11]; 343"
"start_service[12]; 422"
"start_service[13]; 335"
"start_service[14]; 396"
"start_service[15]; 476"
instance 3
"objective; 439.0"
x[0, 6]
x[0, 7]
x[1, 5]
x[2, 3]
x[3, 12]
x[4, 8]
x[5, 2]
x[6, 11]
x[7, 1]
x[8, 13]
x[9, 15]
x[10, 14]
x[11, 15]
x[12, 4]
x[13, 10]
x[14, 9]
w[0, 6], 2
w[0, 7], 2
w[1, 5], 1
w[2, 3], 2
w[3, 8], 2
w[4, 9], 2
w[5, 10], 1
w[6, 11], 2
w[7, 12], 2
w[8, 13], 2
w[9, 15], 2
w[10, 14], 1
w[11, 15], 2
w[12, 4], 2
v[0, 6]
v[0, 7]
v[1, 5]
v[2, 3]
v[3, 8]
v[4, 9]
v[5, 10]
v[6, 11]
v[7, 12]
v[8, 13]
v[9, 15]
v[10, 14]
v[11, 15]
v[12, 4]
y[3, 2]
y[4, 2]
y[5, 1]
y[6, 2]
y[7, 2]
"service_time[3]; 195"
"service_time[4]; 175"
"service_time[5]; 240"
"service_time[6]; 245"
"service_time[7]; 190"
"start_service[1]; 28"
"start_service[2]; 48"
"start_service[3]; 103"
"start_service[4]; 230"
"start_service[5]; 38"
"start_service[6]; 90"
"start_service[7]; 14"
"start_service[8]; 298"
"start_service[9]; 406"
"start_service[10]; 363"
"start_service[11]; 335"
"start_service[12]; 204"
"start_service[13]; 353"
"start_service[14]; 373"
"start_service[15]; 439"
instance 4
"objective; 476.0"
x[0, 5]
x[0, 6]
x[1, 13]
x[2, 4]
x[3, 12]
x[4, 11]
x[5, 10]
x[6, 1]
x[7, 9]
x[8, 15]
x[9, 14]
x[10, 7]
x[11, 3]
x[12, 15]
x[13, 2]
x[14, 8]
w[0, 5], 2
w[0, 6], 2
w[2, 4], 2
w[3, 8], 2
w[4, 9], 2
w[5, 10], 2
w[6, 11], 2
w[7, 12], 2
w[8, 15], 2
w[9, 14], 2
w[10, 7], 2
w[11, 3], 2
w[12, 15], 2
v[0, 5]
v[0, 6]
v[2, 4]
v[3, 8]
v[4, 9]
v[5, 10]
v[6, 11]
v[7, 12]
v[8, 15]
v[9, 14]
v[10, 7]
v[11, 3]
v[12, 15]
y[3, 2]
y[4, 2]
y[5, 2]
y[6, 2]
y[7, 2]
"service_time[3]; 100"
"service_time[4]; 220"
"service_time[5]; 140"
"service_time[6]; 205"
"service_time[7]; 150"
"start_service[1]; 113"
"start_service[2]; 113"
"start_service[3]; 289"
"start_service[4]; 142"
"start_service[5]; 85"
"start_service[6]; 56"
"start_service[7]; 236"
"start_service[8]; 424"
"start_service[9]; 362"
"start_service[10]; 225"
"start_service[11]; 261"
"start_service[12]; 386"
"start_service[13]; 113"
"start_service[14]; 391"
"start_service[15]; 476"
